volatile_acidity,density,free_sulfur_dioxide,fixed_acidity,pH,quality,alcohol,citric_acid,sulphates,total_sulfur_dioxide,residual_sugar,chlorides,wine_type
0.16,0.9921,17.0,8.5,3.14,6.0,10.6,0.33,0.46,57.0,1.0,0.076,White
0.28,0.99558,59.0,6.6,3.14,5.0,9.4,0.41,0.48,194.0,7.0,0.046,White
0.26,0.9961,55.0,5.8,3.31,5.0,9.4,0.24,0.38,152.0,9.2,0.044,White
0.3,0.9998,23.0,7.8,3.16,6.0,9.0,0.29,0.38,135.0,16.85,0.054,White
0.26,0.9924,47.0,6.2,3.14,6.0,10.4,0.19,0.43,172.0,3.4,0.049,White
0.37,0.9954,79.0,6.2,3.29,5.0,9.6,0.3,0.58,200.0,6.6,0.346,White
0.21,0.99466,35.0,7.3,3.38,6.0,10.0,0.21,0.46,133.0,1.6,0.046,White
0.27,0.9958,19.0,7.6,3.15,5.0,8.9,0.24,0.45,115.0,3.8,0.058,White
0.16,0.9967,37.0,7.9,3.47,4.0,9.0,0.3,0.44,171.0,4.8,0.037,White
0.24,0.99698,3.0,8.9,3.12,6.0,9.5,0.39,0.59,10.0,1.6,0.074,Red
0.29,0.98959,16.0,5.9,3.26,6.0,12.6,0.28,0.42,117.0,3.2,0.035,White
0.17,0.99362,30.0,6.0,3.32,7.0,10.1333333333333,0.33,0.58,111.0,6.0,0.036,White
0.18,0.9996,4.0,11.5,3.28,6.0,10.1,0.51,0.97,23.0,4.0,0.104,Red
0.24,0.9954,49.0,6.7,3.12,6.0,9.9,0.41,0.61,166.0,9.4,0.04,White
0.28,0.99408,6.0,8.3,3.26,7.0,12.4,0.48,0.62,12.0,2.1,0.093,Red
0.62,0.9984,27.0,9.0,3.16,5.0,9.4,0.04,0.7,90.0,1.9,0.146,Red
0.4,0.99052,17.0,5.7,3.18,6.0,12.4,0.35,0.67,113.0,5.1,0.026,White
0.34,0.99336,26.0,6.6,3.32,5.0,9.1,0.2,0.55,112.0,1.0,0.053,White
0.39,0.99714,34.0,7.2,3.46,5.0,9.9,0.32,0.78,60.0,1.8,0.065,Red
0.19,0.9925,63.0,6.9,3.44,5.0,10.8,0.33,0.52,149.0,1.6,0.043,White
0.625,0.9988,6.0,11.4,3.11,6.0,13.3,0.66,0.99,24.0,6.2,0.088,Red
0.29,0.98869,20.0,5.5,3.34,7.0,12.8,0.3,0.38,110.0,1.1,0.022,White
0.3,0.9924,42.0,5.9,3.15,5.0,11.0,0.23,0.5,119.0,4.2,0.038,White
0.3,0.99543,19.0,8.8,3.39,6.0,11.8,0.38,0.72,72.0,2.3,0.06,Red
0.2,0.9928,22.0,6.0,3.15,6.0,11.0,0.26,0.42,93.0,6.8,0.049,White
0.18,0.99469,29.0,6.7,3.11,7.0,10.9,0.28,0.45,115.0,10.2,0.039,White
0.85,0.99724,13.0,8.3,3.36,5.0,10.1,0.14,0.54,54.0,2.5,0.093,Red
0.3,0.99316,37.5,7.9,3.01,7.0,12.3,0.68,0.51,278.0,8.3,0.05,Red
0.28,0.998,17.0,11.2,3.16,6.0,9.8,0.56,0.58,60.0,1.9,0.075,Red
0.59,0.999,35.0,10.3,3.28,6.0,9.5,0.42,0.7,73.0,2.8,0.09,Red
0.18,0.99947,48.0,7.1,3.35,5.0,9.1,0.39,0.78,156.0,14.5,0.051,White
0.26,0.99176,19.0,7.2,3.14,7.0,12.8,0.24,0.49,130.0,7.0,0.023,White
0.27,0.98845,11.0,5.6,3.29,6.0,13.1,0.37,0.33,49.0,0.9,0.025,White
0.18,0.99445,34.0,6.8,3.3,5.0,9.4,0.21,0.43,104.0,5.4,0.053,White
0.52,0.9968,11.0,7.5,3.42,5.0,9.6,0.11,0.58,39.0,1.5,0.079,Red
0.17,0.9933,46.0,6.1,3.43,6.0,10.9,0.28,0.49,150.0,4.5,0.033,White
0.76,0.99652,18.0,9.1,2.9,6.0,9.1,0.68,1.33,64.0,1.7,0.414,Red
0.43,0.9994,5.0,10.3,3.19,6.0,9.5,0.44,0.63,12.0,2.4,0.214,Red
0.22,0.9918,31.0,6.3,3.35,7.0,11.5,0.43,0.33,130.0,4.55,0.038,White
0.25,0.99454,58.0,6.2,3.19,5.0,10.4,0.54,0.7,176.0,7.0,0.046,White
0.26,0.99304,22.0,6.4,3.09,5.0,9.3,0.26,0.54,176.0,1.1,0.052,White
0.47,0.99182,16.0,5.3,3.54,7.0,13.6,0.11,0.88,89.0,2.2,0.048,Red
0.73,0.9966,15.0,10.0,3.15,5.0,11.0,0.43,0.57,31.0,2.3,0.059,Red
0.32,0.9916,18.0,6.4,3.36,6.0,12.5,0.27,0.71,122.0,4.9,0.034,White
0.44,0.99718,68.0,7.0,3.05,5.0,9.5,0.24,0.5,210.0,12.1,0.056,White
0.25,0.9901,22.0,6.9,3.03,6.0,11.4,0.4,0.39,101.0,1.3,0.038,White
0.335,0.99212,69.0,4.7,3.47,5.0,10.5,0.14,0.46,168.0,1.3,0.036,White
0.34,0.98938,25.0,6.1,3.06,6.0,11.8,0.29,0.44,100.0,2.2,0.036,White
0.42,0.99157,18.0,5.1,3.68,7.0,13.6,0.0,0.73,88.0,1.8,0.044,Red
0.25,0.99586,53.0,6.2,3.16,6.0,9.1,0.42,0.47,206.0,8.0,0.049,White
0.365,0.9966,39.0,7.3,3.36,5.0,11.0,0.49,0.78,106.0,2.5,0.088,Red
0.18,0.99207,53.0,6.6,3.13,6.0,10.2,0.28,0.45,161.0,1.7,0.041,White
0.63,0.99616,17.0,7.5,3.26,6.0,9.8,0.27,0.58,91.0,2.0,0.083,Red
0.33,0.99322,23.0,5.0,3.41,6.0,11.8,0.23,0.64,158.0,11.8,0.03,White
0.44,0.99745,11.0,10.2,3.29,7.0,12.0,0.58,0.99,24.0,4.1,0.092,Red
0.21,0.9945,38.0,7.0,3.34,6.0,10.4,0.22,0.49,168.0,5.1,0.048,White
0.29,0.9938,6.0,7.9,3.12,5.0,10.7,0.39,0.42,117.0,6.7,0.036,White
0.5,0.9963,3.0,7.0,3.25,5.0,9.2,0.25,0.63,22.0,2.0,0.07,Red
0.51,0.9944,7.0,7.3,3.01,5.0,8.8,0.26,0.52,135.0,3.3,0.09,White
0.53,0.9968,14.0,6.4,3.5,4.0,11.0,0.09,0.67,31.0,3.9,0.123,Red
0.23,0.999,60.0,7.1,3.16,6.0,9.1,0.35,0.59,171.0,16.5,0.04,White
0.34,0.9916,32.0,6.6,3.1,6.0,10.7,0.28,0.42,90.0,1.3,0.035,White
0.34,0.9955,45.0,6.2,3.35,6.0,10.0,0.29,0.62,232.0,7.6,0.047,White
0.23,0.99576,46.0,6.6,3.2,6.0,9.4,0.37,0.48,153.0,8.5,0.036,White
0.46,0.9932,31.0,5.7,3.13,5.0,8.8,0.46,0.47,169.0,1.4,0.04,White
0.31,0.9919,12.0,6.4,3.32,7.0,10.4,0.28,0.51,119.0,1.5,0.037,White
0.15,0.9929,21.0,5.8,3.19,5.0,9.2,0.49,0.48,98.0,1.1,0.048,White
0.18,0.9911,39.0,6.4,3.31,6.0,10.9,0.35,0.35,108.0,1.0,0.045,White
0.47,0.9921,18.0,5.1,3.9,6.0,12.8,0.02,0.62,44.0,1.3,0.034,Red
0.39,0.9918,36.0,7.7,3.19,7.0,12.2,0.28,0.58,109.0,4.9,0.035,White
0.28,0.99126,50.0,6.0,3.27,6.0,11.6,0.27,0.56,147.0,4.1,0.046,White
0.33,0.9889,38.0,6.8,3.19,6.0,13.0,0.28,0.41,131.0,1.2,0.032,White
0.29,0.98942,31.0,6.4,2.9,7.0,12.6,0.24,0.66,95.0,3.2,0.037,White
0.55,0.993,14.0,9.0,2.94,5.0,11.8,0.3,0.36,71.0,8.1,0.026,White
0.69,0.999,19.0,9.0,3.35,5.0,9.3,0.0,0.6,38.0,2.4,0.088,Red
0.23,0.9908,29.0,7.2,3.26,7.0,12.3,0.39,0.54,102.0,2.3,0.033,White
0.29,0.9996,36.0,6.9,2.93,5.0,8.9,0.4,0.47,156.0,19.45,0.043,White
0.32,0.9917,17.0,5.9,3.24,5.0,10.7,0.26,0.36,141.0,1.5,0.057,White
0.46,0.99129,35.0,6.7,3.16,7.0,12.4,0.27,0.44,96.0,5.2,0.039,White
0.43,0.99718,19.0,7.6,3.4,5.0,9.5,0.29,0.64,66.0,2.1,0.075,Red
0.26,0.9925,5.0,6.4,3.09,5.0,10.1,0.4,0.54,60.0,1.7,0.179,White
0.14,0.99512,30.0,6.9,3.19,6.0,9.9,0.29,0.33,91.0,9.9,0.056,White
0.27,0.99364,98.0,6.5,3.16,6.0,10.1,0.19,0.34,175.0,6.6,0.045,White
0.55,0.9964,7.0,7.6,3.28,5.0,9.7,0.21,0.55,28.0,2.2,0.071,Red
0.29,0.9969,12.0,8.7,3.25,5.0,9.5,0.52,0.58,37.0,1.6,0.113,Red
0.27,0.99548,35.0,6.3,3.16,4.0,9.4,0.51,0.54,200.0,7.6,0.049,White
0.21,0.99805,34.0,6.8,2.93,5.0,9.2,0.55,0.44,159.0,14.6,0.053,White
0.33,0.98964,30.0,6.5,3.17,6.0,12.7,0.38,0.43,148.0,2.5,0.047,White
0.775,0.9976,12.0,9.1,3.18,5.0,9.6,0.22,0.51,48.0,2.2,0.079,Red
0.26,0.9956,35.5,6.7,3.31,5.0,9.5,0.26,0.68,216.0,4.0,0.079,White
0.3,0.99382,36.0,5.8,3.15,5.0,9.7,0.09,0.48,138.0,6.3,0.042,White
0.4,0.99783,19.0,11.2,3.1,5.0,10.4,0.5,0.58,50.0,2.0,0.099,Red
0.54,0.99022,52.0,4.4,3.41,7.0,12.2,0.09,0.4,97.0,5.1,0.038,White
0.25,0.99064,40.0,7.0,3.16,7.0,11.9,0.45,0.48,118.0,2.3,0.045,White
0.31,0.99356,26.0,7.6,3.22,7.0,12.5,0.34,0.59,35.0,2.5,0.082,Red
0.41,0.9956,18.0,7.4,3.37,5.0,10.4,0.24,0.62,47.0,1.8,0.066,Red
0.27,0.9971,61.0,6.3,3.25,6.0,9.5,0.46,0.53,212.0,11.75,0.037,White
0.12,0.9953,27.0,7.0,3.29,5.0,9.4,0.19,0.41,127.0,4.9,0.055,White
0.745,0.9965,16.0,8.4,3.19,5.0,9.6,0.11,0.82,63.0,1.9,0.09,Red
0.64,0.99538,15.0,6.8,3.44,6.0,11.3,0.0,0.63,33.0,2.7,0.123,Red
0.115,0.9954,26.0,7.2,3.44,6.0,9.6,0.3,0.4,105.0,6.8,0.056,White
0.2,0.99235,16.0,5.2,3.44,7.0,10.1,0.27,0.53,93.0,3.2,0.047,White
0.41,0.9968,28.0,6.9,3.2,5.0,9.4,0.33,0.52,152.0,10.1,0.043,White
0.21,0.9956,26.0,7.1,2.95,5.0,9.5,0.27,0.52,111.0,8.6,0.056,White
0.23,0.99558,59.0,6.6,3.16,5.0,9.5,0.18,0.49,188.0,8.5,0.044,White
0.27,0.99215,36.0,6.0,3.23,6.0,10.8,0.32,0.46,133.0,3.6,0.035,White
0.64,0.9983,33.0,7.9,2.87,3.0,9.1,0.46,0.74,227.0,10.6,0.244,White
0.29,0.9938,37.0,7.0,2.95,6.0,9.4,0.49,0.4,136.0,3.8,0.047,White
0.39,0.99114,60.0,6.0,3.06,5.0,10.6,0.13,0.52,172.0,1.2,0.042,White
0.32,0.98964,20.0,6.5,3.13,6.0,12.8,0.3,0.52,127.0,2.3,0.051,White
0.27,0.9979,36.0,7.3,3.48,6.0,9.9,0.37,0.75,130.0,9.7,0.042,White
0.56,0.9996,37.0,9.6,3.3,5.0,10.1,0.23,0.65,92.0,3.4,0.102,Red
0.25,0.99008,38.0,6.6,3.19,6.0,12.8,0.35,0.4,121.0,2.9,0.034,White
0.27,0.99088,25.0,7.9,2.97,6.0,11.9,0.27,0.51,122.0,1.7,0.034,White
0.15,0.9942,34.0,6.6,3.36,5.0,9.6,0.34,0.42,125.0,5.1,0.055,White
0.26,0.99081,16.0,6.2,3.33,6.0,11.8,0.29,0.61,87.0,2.0,0.036,White
0.26,0.9974,8.0,8.3,3.26,6.0,9.6,0.37,0.7,23.0,1.4,0.076,Red
0.26,0.9931,31.0,7.3,3.16,6.0,11.0,0.36,0.59,141.0,5.2,0.04,White
0.37,0.998,6.0,9.5,3.18,5.0,9.5,0.52,0.51,26.0,2.0,0.082,Red
0.66,0.99733,23.0,8.5,3.13,5.0,9.2,0.2,0.48,113.0,2.1,0.097,Red
0.31,0.9959,35.0,6.8,3.14,5.0,9.0,0.32,0.38,143.0,7.6,0.052,White
0.42,0.9988,32.0,8.2,3.34,6.0,8.7,0.49,0.75,55.0,2.6,0.084,Red
0.36,0.98868,18.0,6.3,3.1,7.0,12.8,0.28,0.47,73.0,2.5,0.035,White
0.15,0.99394,13.0,6.4,3.16,6.0,9.9,0.25,0.4,68.0,7.8,0.05,White
0.91,0.99672,20.0,7.3,3.35,5.0,9.2,0.1,0.56,56.0,1.8,0.074,Red
0.24,0.98914,11.0,7.2,2.96,6.0,12.5,0.3,0.36,95.0,1.2,0.037,White
0.25,0.99142,21.0,5.7,3.3,6.0,11.0,0.21,0.59,108.0,1.5,0.044,White
0.49,0.9957,10.0,7.5,3.39,5.0,9.7,0.19,0.54,44.0,1.9,0.076,Red
0.24,0.992,9.0,7.4,3.09,6.0,11.1,0.4,0.39,95.0,4.3,0.032,White
0.23,0.99795,23.0,8.0,3.32,4.0,9.8,0.37,0.47,159.0,9.6,0.054,White
0.5,0.99647,13.0,6.0,3.46,5.0,10.0,0.04,0.47,26.0,2.2,0.092,Red
0.21,1.0001,41.0,6.8,3.3,5.0,8.7,0.27,0.36,146.0,18.15,0.042,White
0.42,0.98915,34.0,5.6,3.22,7.0,12.8,0.34,0.38,97.0,2.4,0.022,White
0.285,0.99732,57.0,6.6,3.08,6.0,8.9,0.49,0.54,137.0,11.4,0.035,White
0.46,0.99815,19.0,9.0,3.32,6.0,9.5,0.31,0.63,98.0,2.8,0.093,Red
0.13,0.9966,40.0,7.6,3.21,5.0,9.6,0.34,0.39,126.0,9.3,0.062,White
0.17,0.9958,49.0,7.1,3.35,6.0,9.6,0.38,0.52,182.0,7.4,0.052,White
0.26,0.9931,21.0,7.8,3.16,5.0,10.3,0.49,0.35,116.0,3.1,0.045,White
0.31,0.99672,9.0,10.1,3.24,7.0,11.2,0.35,0.83,28.0,1.6,0.075,Red
0.37,0.9948,34.0,6.9,3.1,6.0,11.6,0.28,0.37,137.0,13.8,0.031,White
0.33,0.99416,16.0,6.0,3.15,5.0,9.2,0.26,0.41,119.0,5.1,0.051,White
0.24,0.99888,22.0,6.5,3.11,6.0,9.2,0.39,0.47,126.0,17.3,0.052,White
0.36,0.99622,38.0,6.2,3.27,5.0,9.4,0.14,0.5,155.0,8.9,0.036,White
0.27,1.0002,34.0,7.0,2.96,5.0,9.1,0.41,0.5,157.0,18.75,0.042,White
0.31,0.993,30.0,6.8,2.83,5.0,9.6,0.19,0.44,130.0,3.5,0.086,White
0.125,0.99014,22.0,6.4,3.15,7.0,11.7,0.36,0.5,68.0,1.4,0.044,White
0.19,0.9932,42.0,7.5,3.4,6.0,10.7,0.49,0.47,140.0,1.6,0.047,White
0.57,0.99625,26.0,7.8,3.29,5.0,9.3,0.31,0.53,120.0,1.8,0.069,Red
0.3,0.99158,34.0,6.3,3.0,5.0,10.7,0.2,0.38,132.0,3.7,0.039,White
0.21,0.9932,45.0,7.1,3.13,6.0,9.9,0.3,0.33,143.0,1.4,0.037,White
0.25,0.9975,52.0,7.4,3.0,5.0,9.1,0.37,0.44,192.0,13.5,0.06,White
0.37,0.9964,36.0,6.2,3.33,6.0,9.6,0.22,0.6,216.0,8.3,0.025,White
0.44,0.9944,3.0,5.9,3.48,6.0,11.7,0.0,0.85,11.0,1.6,0.042,Red
0.36,0.99544,20.0,6.5,3.2,6.0,11.0,0.31,0.56,113.0,13.55,0.053,White
0.22,0.9927,29.0,7.0,3.11,6.0,10.5,0.28,0.55,115.0,1.5,0.037,White
0.18,0.98853,19.0,5.8,3.09,7.0,12.7,0.37,0.49,74.0,1.2,0.036,White
0.32,0.99514,53.0,6.4,3.14,5.0,9.6,0.26,0.5,180.0,7.9,0.05,White
0.24,0.9927,41.0,7.0,3.28,6.0,11.8,0.3,0.49,213.0,4.2,0.04,White
0.22,0.9958,33.0,6.5,3.12,6.0,9.2,0.72,0.36,168.0,6.8,0.042,White
0.39,0.99414,29.0,7.1,3.07,6.0,10.9,0.3,0.42,124.0,9.9,0.037,White
0.31,0.9977,51.0,7.4,3.02,5.0,8.7,0.74,0.43,147.0,10.7,0.039,White
0.545,0.9972,13.0,8.1,3.3,6.0,9.0,0.18,0.59,35.0,1.9,0.08,Red
0.42,0.9925,29.0,7.3,3.19,7.0,12.6,0.38,0.37,122.0,6.8,0.045,White
0.43,0.9955,37.0,7.8,3.14,6.0,11.3,0.49,0.35,158.0,13.0,0.033,White
0.65,0.99915,27.0,7.5,3.38,5.0,9.4,0.18,0.77,94.0,7.0,0.088,Red
0.46,0.9947,7.0,8.8,3.32,6.0,14.0,0.45,0.79,18.0,2.6,0.065,Red
0.23,0.99488,60.0,6.4,2.86,6.0,9.3,0.37,0.49,150.0,7.9,0.05,White
0.61,0.99612,24.0,7.5,3.3,5.0,9.8,0.26,0.53,88.0,1.9,0.073,Red
0.3,0.9945,35.0,6.7,3.21,5.0,9.9,0.74,0.46,157.0,5.0,0.038,White
0.62,0.99556,33.0,6.4,3.22,5.0,8.9,0.12,0.48,196.0,4.7,0.06,White
0.26,0.9976,38.0,7.9,2.96,6.0,10.0,0.41,0.6,216.0,15.15,0.04,White
0.35,0.99687,22.0,6.9,3.11,5.0,9.7,0.55,0.29,111.0,11.95,0.038,White
0.24,0.98926,31.0,6.5,3.24,6.0,12.3,0.38,0.36,90.0,1.0,0.027,White
0.31,0.98952,19.0,6.0,3.32,7.0,12.7,0.27,0.41,120.0,2.3,0.042,White
0.24,0.99142,31.0,7.0,3.2,6.0,11.0,0.26,0.53,110.0,1.7,0.041,White
0.23,0.9972,62.0,6.9,3.22,5.0,10.5,0.32,0.42,153.0,16.4,0.045,White
0.14,0.9928,28.0,7.3,3.2,6.0,10.6,0.49,0.72,99.0,1.1,0.038,White
1.02,0.99437,17.0,6.3,3.59,4.0,11.2,0.0,0.55,24.0,2.0,0.083,Red
0.2,0.99022,42.0,6.7,3.11,5.0,11.4,0.37,0.45,103.0,1.65,0.025,White
0.385,0.99128,38.0,5.8,3.2,6.0,11.2,0.25,0.63,122.0,3.7,0.031,White
0.37,0.99459,61.0,6.4,3.24,5.0,9.5,0.2,0.43,183.0,5.6,0.117,White
0.58,0.9949,30.0,6.6,3.24,5.0,9.0,0.3,0.38,123.0,5.1,0.057,White
0.19,0.99772,46.0,7.2,2.99,6.0,9.3,0.27,0.59,149.0,11.2,0.061,White
0.27,0.99144,9.0,6.7,3.08,6.0,10.5,0.33,0.4,45.0,3.6,0.034,White
0.23,0.99496,20.0,7.2,3.17,5.0,9.7,0.38,0.79,90.0,6.1,0.067,White
0.24,0.9936,53.0,7.4,3.18,7.0,9.9,0.26,0.5,150.0,1.6,0.058,White
0.24,0.99411,17.0,7.2,3.36,6.0,10.1,0.29,0.68,117.0,3.0,0.036,White
0.2,0.99496,29.0,6.6,3.11,7.0,10.5,0.27,0.44,130.0,10.9,0.038,White
0.22,0.99904,36.0,6.5,3.02,6.0,8.8,0.5,0.49,182.0,16.4,0.048,White
0.18,0.9984,17.0,6.6,3.0,6.0,9.4,0.26,0.43,149.0,17.3,0.051,White
0.2,0.99133,26.0,7.5,3.19,5.0,11.1,0.41,0.52,131.0,1.2,0.05,White
0.28,0.9972,61.0,6.5,3.15,4.0,9.0,0.35,0.57,180.0,9.8,0.067,White
0.4,0.9976,70.0,7.2,3.08,4.0,8.6,0.62,0.49,189.0,10.8,0.041,White
0.635,0.99748,16.0,7.2,3.51,5.0,9.7,0.07,0.54,86.0,2.6,0.077,Red
0.33,0.9901,25.0,7.1,3.22,7.0,12.1,0.25,0.34,126.0,1.6,0.03,White
0.15,0.99192,59.0,6.6,3.19,8.0,12.1,0.32,0.71,128.0,6.0,0.033,White
0.15,0.99754,25.0,6.3,3.21,6.0,10.0,0.34,0.49,96.0,11.4,0.05,White
0.12,0.99552,10.0,8.9,3.41,7.0,11.9,0.45,0.76,21.0,1.8,0.075,Red
0.645,1.00315,10.0,15.5,2.92,5.0,11.1,0.49,0.74,23.0,4.2,0.095,Red
0.25,0.9925,50.0,7.1,3.2,7.0,11.0,0.25,0.42,181.0,1.6,0.046,White
0.35,0.99334,23.0,7.2,2.93,7.0,10.3,0.25,0.66,120.0,5.6,0.032,White
0.24,0.99251,29.0,7.0,3.3,6.0,9.9,0.24,0.43,91.0,1.8,0.047,White
0.345,0.99486,38.0,6.2,3.31,5.0,10.6,0.27,0.56,187.0,10.1,0.056,White
0.16,0.99666,18.0,6.7,2.88,6.0,9.0,0.32,0.36,156.0,12.5,0.035,White
0.37,0.9921,45.0,6.3,3.29,7.0,11.6,0.28,0.46,152.0,6.3,0.034,White
0.2,0.99165,34.0,7.4,3.26,6.0,12.2,1.66,0.55,113.0,2.1,0.022,White
0.49,0.998,6.0,8.3,3.18,6.0,9.5,0.36,0.6,16.0,1.8,0.222,Red
0.24,0.9983,38.0,7.3,3.03,6.0,9.0,0.34,0.42,174.0,15.4,0.05,White
0.18,0.99808,19.0,6.8,3.0,7.0,9.0,0.3,0.52,171.0,12.8,0.062,White
0.72,0.99627,6.0,7.1,3.45,5.0,9.8,0.0,0.58,14.0,1.8,0.123,Red
0.22,0.9898,41.0,7.0,3.16,7.0,12.7,0.31,0.37,136.0,2.7,0.03,White
0.68,0.99685,16.0,7.1,3.38,5.0,9.5,0.07,0.52,51.0,1.9,0.075,Red
0.9,1.00289,23.0,10.7,3.22,5.0,9.3,0.34,0.68,99.0,6.6,0.112,Red
0.27,0.99215,24.0,6.6,3.29,5.0,10.7,0.33,0.46,183.0,1.4,0.042,White
0.7,0.99334,8.0,6.7,3.43,5.0,12.6,0.08,0.52,16.0,3.75,0.067,Red
0.44,0.99771,28.0,6.2,3.56,5.0,9.2,0.18,0.72,210.0,7.7,0.096,White
0.64,0.99718,7.0,6.6,3.35,5.0,10.3,0.31,0.68,49.0,6.1,0.083,Red
0.2,0.99238,36.0,7.3,3.34,6.0,10.8,0.26,0.44,123.0,1.6,0.04,White
0.3,0.9933,19.0,5.9,3.52,7.0,11.5,0.47,0.43,133.0,7.85,0.03,White
0.32,0.9961,47.0,7.3,3.08,5.0,8.8,0.25,0.47,180.0,7.2,0.056,White
0.34,0.9979,26.0,6.0,3.14,6.0,8.8,0.66,0.5,164.0,15.9,0.046,White
0.2,0.9995,43.0,7.4,3.03,6.0,9.2,0.37,0.42,190.0,16.95,0.048,White
0.31,0.99164,33.0,6.8,3.13,7.0,12.6,0.3,0.63,122.0,8.0,0.028,White
0.34,0.9928,43.0,6.5,3.13,6.0,9.6,0.28,0.37,188.0,1.8,0.041,White
0.35,0.9944,15.0,7.0,3.18,5.0,9.4,0.31,0.47,162.0,1.8,0.069,White
0.29,0.99478,62.0,6.4,3.1,5.0,9.4,0.3,0.4,156.0,6.5,0.209,White
0.37,0.9963,34.0,7.2,3.1,6.0,9.8,0.4,0.51,214.0,11.6,0.032,White
0.34,0.99815,31.0,7.7,3.27,6.0,9.2,0.28,0.29,117.0,11.0,0.04,White
0.35,0.99712,20.0,6.5,3.47,6.0,9.1,0.38,0.48,196.0,7.4,0.036,White
0.705,0.9976,9.0,7.7,3.39,5.0,9.7,0.1,0.49,26.0,2.6,0.084,Red
0.33,0.99734,62.0,6.6,3.25,5.0,10.4,0.32,0.56,227.0,15.6,0.054,White
0.26,0.9928,44.0,6.8,3.12,6.0,10.5,0.33,0.44,167.0,1.5,0.047,White
0.67,0.99888,12.0,9.2,3.31,6.0,9.5,0.1,0.54,48.0,3.0,0.091,Red
0.23,0.9979,55.0,7.2,3.09,6.0,9.0,0.38,0.44,194.0,14.3,0.058,White
0.42,0.99516,6.0,8.6,3.35,8.0,11.7,0.39,0.69,12.0,1.8,0.068,Red
0.2,0.99364,21.0,6.2,3.18,6.0,11.9,0.29,0.34,93.0,11.8,0.035,White
0.26,0.9967,69.0,6.5,3.17,6.0,10.0,0.27,0.43,215.0,12.9,0.044,White
0.36,0.9964,32.0,8.4,3.3,6.0,11.0,0.32,0.72,79.0,2.2,0.081,Red
0.29,0.99334,36.0,6.4,2.99,6.0,10.9333333333333,0.21,0.34,119.0,9.65,0.041,White
0.3,0.99452,52.0,8.2,3.04,6.0,12.0,0.44,0.33,154.0,12.4,0.043,White
0.24,0.9914,30.0,7.2,3.1,6.0,10.9,0.28,0.39,92.0,1.9,0.032,White
0.39,0.9974,55.0,7.2,3.09,6.0,8.7,0.63,0.44,156.0,11.0,0.044,White
0.18,0.99678,47.0,6.5,3.28,7.0,10.3,0.41,0.72,129.0,14.2,0.039,White
0.3,0.99543,54.0,8.5,3.21,6.0,9.4,0.28,0.43,174.0,3.1,0.054,White
0.305,0.99824,26.0,6.3,3.08,5.0,9.1,0.22,0.5,141.0,16.0,0.061,White
0.33,0.99907,67.0,7.4,3.06,5.0,9.5,0.26,0.68,210.0,15.6,0.049,White
0.305,0.99331,7.0,7.3,3.29,6.0,11.5,0.39,0.52,11.0,1.2,0.059,Red
0.59,0.99488,9.0,7.1,3.42,7.0,11.5,0.0,0.55,14.0,2.1,0.091,Red
0.44,0.9948,41.0,7.7,3.12,7.0,11.3,0.24,0.43,167.0,11.2,0.031,White
0.31,0.9926,28.0,6.1,3.37,6.0,10.4,0.26,0.47,167.0,2.2,0.051,White
0.33,0.9954,29.0,6.0,3.47,6.0,11.0,0.38,0.48,124.0,9.7,0.04,White
0.715,0.99735,10.0,8.4,3.31,5.0,9.4,0.2,0.64,38.0,2.4,0.076,Red
0.42,0.99622,17.0,9.6,3.23,6.0,11.1,0.35,0.66,38.0,2.1,0.083,Red
0.22,0.99078,44.0,7.0,3.34,7.0,12.0,0.26,0.41,132.0,2.8,0.036,White
0.23,0.99157,23.0,7.1,3.05,6.0,11.3666666666667,0.23,0.37,112.0,3.5,0.038,White
0.49,0.9932,13.0,6.9,3.17,5.0,9.4,0.24,0.51,125.0,1.2,0.049,White
0.2,0.99021,38.0,5.9,3.36,6.0,12.0,0.23,0.49,93.0,1.5,0.037,White
0.21,0.9913,40.0,6.8,3.07,7.0,10.9,0.31,0.65,121.0,2.9,0.046,White
0.22,0.99906,37.0,6.6,3.08,6.0,8.8,0.23,0.46,118.0,17.3,0.047,White
0.57,0.99564,16.0,7.2,3.38,6.0,10.3,0.05,0.6,36.0,2.3,0.081,Red
0.24,0.99473,42.0,6.7,3.34,6.0,10.9,0.36,0.52,123.0,8.4,0.042,White
0.835,0.9975,6.0,7.7,3.3,5.0,9.3,0.0,0.52,14.0,2.6,0.081,Red
0.3,0.98942,18.0,5.2,3.56,8.0,13.0,0.34,0.48,96.0,1.5,0.038,White
0.28,0.9917,30.0,8.2,3.09,5.0,11.4,0.42,0.39,93.0,1.8,0.031,White
0.49,0.9908,28.0,5.5,3.5,8.0,14.0,0.03,0.82,87.0,1.8,0.044,Red
0.5,0.99761,12.0,7.2,3.52,6.0,9.6,0.18,0.72,31.0,2.1,0.071,Red
0.645,0.9986,5.0,7.8,3.4,6.0,9.6,0.0,0.55,18.0,5.5,0.086,Red
0.4,0.9931,30.0,6.0,3.17,6.0,10.1,0.3,0.48,117.0,1.6,0.047,White
0.41,0.9949,41.0,7.3,3.2,6.0,9.9,0.24,0.41,163.0,6.8,0.057,White
0.2,0.99306,41.0,8.2,3.22,5.0,11.6,0.38,0.41,174.0,3.5,0.053,White
0.2,0.9905,12.0,5.8,3.25,7.0,10.9,0.27,0.36,77.0,1.4,0.031,White
